orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
45359973000150,0.1435720930886203,0.0984969400932845,20,21,0.9155516809772348,0.4482580099424527,0.06016397944117473,0.0800218846836307,0.9853516762206438,-0.8553877015360601,-0.368236125258822,False,False,False
45400604000163,0.0719054208672308,0.0230583377549798,20,20,0.6479717172370387,0.5823922373331362,0.2278606496885046,0.27844033257852485,0.7596570015467232,-0.4201110675485341,-0.3039519047546113,False,False,False
45519461000103,0.2769276879519031,0.2111938414020762,12,15,0.7467520334094472,0.5105699151167387,0.1265334459235717,0.18042987843328137,0.8830386723811611,-0.6202185874858754,-0.33014003668345726,False,False,False
45557047000199,0.6961299103078269,0.6527198974946593,8,8,0.9338996066752352,0.4248592670445615,0.03263283585480266,0.03976694688010489,0.9689063042589071,-0.9012667708204325,-0.3850923201644566,False,False,False
45579061000193,0.18067615253768,0.1123991652491533,13,102,0.7426042675537821,0.4939047654127866,0.1434618711864088,0.12458657214973295,0.8841693457441097,-0.5991423963673732,-0.36931819326305365,False,False,False
45704567000187,0.088713009939486,0.0279605439354518,16,25,0.6678078012034561,0.6518593315134361,0.2586867976175811,0.23167805859528032,0.8142891812250915,-0.40912100358587494,-0.42018127291815577,False,False,False
45742707000101,0.0323194316394438,0.0205184490984614,83,94,0.7639344462852369,0.6481390116286896,0.23971155500388097,0.3659816579352716,0.8346120620396843,-0.5242228912813559,-0.282157353693418,False,False,False
45767829000152,0.0703865210009277,0.0551469557714347,62,78,0.6705787313522358,0.4868653773608309,0.11924675445316493,0.09393714529107315,0.9011569495478787,-0.5513319768990709,-0.39292823206975774,False,False,False
45788709000131,0.1288076765093059,0.0852480603347712,21,46,0.6464343068683092,0.6398819416334316,0.26606173819312756,0.3764844363654747,0.7384979066780728,-0.3803725686751816,-0.2633975052679569,False,False,False
45806848000140,0.7657003885712814,0.7188404662855378,6,6,0.9188048582281316,0.9019158179491896,0.8225926623311304,0.8442518245821571,0.6500445060630908,-0.09621219589700125,-0.05766399336703254,False,False,False
45812676000118,0.3119534726995062,0.2136611116565785,8,9,0.5839906342878273,0.7732199331967708,0.4088880350643769,0.5945266408843871,0.5346332449256993,-0.1751025992234504,-0.17869329231238373,False,False,True
45845902000167,0.2650144329611342,0.1915158762572476,11,14,0.7968514127428494,0.5608213441061594,0.22299430703952552,0.2454492387594731,0.7909055405793298,-0.5738571057033239,-0.31537210534668625,False,False,False
45916929000101,0.3009129977952537,0.2135271225196605,9,55,0.8973957145041457,0.4079395011722102,0.009028024480694095,0.011230773619740024,0.9898881196034606,-0.8883676900234516,-0.39670872755247016,False,False,False
45959954000164,0.255074539563064,0.1805819935193704,11,12,0.6546084394773314,0.4659473766790411,0.044970414817475025,0.07069103460671262,0.9548342345325321,-0.6096380246598564,-0.3952563420723285,False,False,False
45965982000194,0.3530111835216372,0.3314448896390251,31,35,0.9037023874876258,0.4637477702000636,0.06971012403243683,0.08261383356806438,0.9518067499103017,-0.833992263455189,-0.3811339366319992,False,False,False
46008811000130,0.3355042806125468,0.1693803507656835,5,9,0.4968439601021462,0.6673924542064363,0.23484469512710157,0.42652194189640397,0.6793796619498079,-0.26199926497504467,-0.24087051231003237,False,False,False
46139952000191,0.1107130183847558,0.1023235185581969,107,143,0.9138390928889096,0.6218886982313048,0.39084919327008155,0.301543397599438,0.713021795558257,-0.522989899618828,-0.3203453006318668,False,False,False
46190305000104,0.1213716907427891,0.0976249796817834,38,1271,0.8629613144814604,0.5933130994575557,0.2885134674054624,0.2864805702418855,0.7707817071650964,-0.5744478470759979,-0.3068325292156702,False,False,False
46251021000180,0.2438662668186099,0.2147842001577872,27,30,0.916692966135625,0.4907428842598488,0.14637802247139767,0.12302954417691818,0.8755076858045142,-0.7703149436642274,-0.3677133400829306,False,False,False
46335839000181,0.2276991762124623,0.182269715989666,18,21,0.6796814458117553,0.6795010380152109,0.459400691560739,0.4706169206460098,0.5722813288992985,-0.2202807542510163,-0.2088841173692011,False,False,False
46378766000105,0.4067713142680494,0.3408570158533883,10,10,0.8814266353073718,0.8096835456898358,0.6982020864181708,0.6571031286903802,0.36754842927810594,-0.18322454888920092,-0.15258041699945557,False,False,False
46392072000122,0.337864199881878,0.2642935554243089,10,11,0.742951229367452,0.8112627959768983,0.6376590914928442,0.5722639934134591,0.36301627169548517,-0.10529213787460778,-0.2389988025634392,False,True,False
