orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
10714485000139,637926.8897000002,411,102,0.05259031399561809,0.030765860964592925,0.10861453109867239,0.3612187849745065,19.014908336225595,0.04321002007478262,0.021169483350380974,0.021824453031025162,0.022040536724401646,0.9975633291391385,0.9458057120994504
10721741000115,778752.88,5,4,0.5326612298383908,0.28,0.7011210025958428,1.0,1.8773658452735513,0.3768816397845211,0.040000000000000036,0.2526612298383908,0.33688163978452107,0.40860308466866535,0.8506896289518843
10721783000156,1054056.05,8,7,0.29158897929800487,0.15625,0.4716565973887252,0.9023737305051283,3.4294848948251806,0.17352047584767236,0.015625000000000007,0.13533897929800487,0.15789547584767236,0.7031161253144379,0.8654758129057323
10721828000192,506288.42000000004,5,5,0.46777700832713864,0.20000000000000004,0.6296663075959746,0.9993993542257988,2.1377707373352832,0.33472126040892325,3.469446951953614e-17,0.2677770083271386,0.3347212604089232,0.8114483978230047,0.8811198350669651
10725387000105,1917932.38,4,3,0.5909314116182686,0.375,0.717889068643807,1.0,1.6922437703243682,0.38639711742740285,0.06250000000000001,0.21593141161826857,0.32389711742740285,0.40141835658187786,0.9351703886110593
10732371000111,789297.73,10,9,0.15933935077615513,0.12000000000000002,0.30029952068910676,0.6597953601108165,6.275913609092276,0.05425676962317453,0.010000000000000033,0.03933935077615511,0.0442567696231745,0.5994819543966867,0.7821936075325765
10740545000198,78193.27,5,5,0.26996566901209684,0.20000000000000004,0.38366473227171594,0.9596733836556521,3.704174696209951,0.08745708626512104,3.469446951953614e-17,0.0699656690120968,0.087457086265121,0.6179779682829961,0.5318226546632853
10746449000157,311600.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.8558785605438988
10751888000158,18786.0,2,2,0.9716683220850906,0.5,0.9856275950175662,1.0,1.0291577663601432,0.9433366441701811,0.0,0.4716683220850906,0.9433366441701811,0.40141835658187786,0.3863160530398444
10759024000182,116816.12,23,17,0.1316659486015537,0.07750472589792061,0.26485753849725535,0.6035464112316007,7.594978129282241,0.0773950703891508,0.01984877126654065,0.05416122270363309,0.05754629912261015,0.7342464873862967,0.5225069304035332
