orgao_cnpj,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,portfolio_hhi_jun,portfolio_hhi_norm_jun,portfolio_cr1_jun,portfolio_cr4_jun,count_hhi_jun,count_hhi_norm_jun,exposicao_strength_global_jun,exposicao_degree_global_jun,n_fornecedores_jun,n_instrumentos_jun,quadrante_jun,exposicao_oculta_jun,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
30899445000116,0.3957243137680368,0.340790160474222,0.5863045776403975,0.9393561430560348,0.0918367346938775,0.0092764378478664,0.9564734118278364,0.4955837790987378,12,14,oculta,True,0.3058825200429022,0.248039396713144,0.4942753937663037,0.8900782614347554,0.0844444444444444,0.0081481481481481,0.9555303608041932,0.4781004815790031,13,15,oculta,True,-0.08984179372513462,-0.09275076376107799,-0.0009430510236432266,True
30920620000100,0.5139491554973444,0.4329406814135685,0.6487470010318321,0.9828521751027264,0.1428571428571428,0.0,0.9267274924257576,0.5830403117127467,7,7,critico,False,0.5107144603206133,0.4408165260807009,0.646695906662811,0.9797447656523134,0.125,0.0,0.9217903456405064,0.5816800192740943,8,8,hhi_alto,False,-0.0032346951767311394,0.00787584466713237,-0.004937146785251145,False
30935256000151,0.2003979304569667,0.0404775165483601,0.2749655512302542,0.801354898842937,0.1666666666666666,3.3306690738754695e-17,0.6860901176518515,0.519959299129544,6,6,baixo_baixo,False,0.179279744636233,0.0424930354089385,0.2298624774783334,0.7793893953204839,0.15625,0.015625,0.6897062920449752,0.5547308543171033,7,8,baixo_baixo,False,-0.021118185820733687,0.002015518860578401,0.0036161743931237833,True
30957190000109,0.1599215929711999,0.0199085251330665,0.2368127827972362,0.7107327663296987,0.1428571428571428,0.0,0.5880434193321404,0.6607998599037708,7,7,baixo_baixo,False,0.1341008693387601,0.0378898548208445,0.2544016553782614,0.6061437002235743,0.1,3.0839528461809905e-17,0.6298171731724072,0.7291275322386342,10,10,baixo_baixo,False,-0.025820723632439813,0.017981329687778,0.041773753840266714,True
30985841000166,0.5258618570681609,0.4863503451571743,0.7146947854834151,0.8998819347747292,0.0816326530612245,0.0051020408163265,0.8799091971435082,0.4085304265381383,13,14,hhi_alto,False,0.4408648984539107,0.4009266769149043,0.6505290763982924,0.8654442754961542,0.0703125,0.00390625,0.8632413523567568,0.4054352137996138,15,16,hhi_alto,False,-0.08499695861425022,-0.08542366824226999,-0.01666784478675143,True
31010615000122,0.2973092497473966,0.180194124705296,0.4723771330206401,0.8858977676838476,0.1604938271604938,0.0205761316872427,0.8997096907452061,0.451794848885075,7,9,baixo_baixo,False,0.0644367962846992,0.0391513042923938,0.1885225453777151,0.3685803372703676,0.0297458085451595,0.0035227222896233,0.8273671321960162,0.4806330838625157,38,43,baixo_baixo,False,-0.2328724534626974,-0.1410428204129022,-0.07234255854918992,True
31015782000166,0.673153055672089,0.6077836668065069,0.8081988022999722,0.9967260572597428,0.1666666666666666,3.3306690738754695e-17,0.9597559740298623,0.4014183565818779,6,6,critico,False,0.673153055672089,0.6077836668065069,0.8081988022999722,0.9967260572597428,0.1666666666666666,3.3306690738754695e-17,0.9576218164895278,0.3989296410860706,6,6,critico,False,0.0,0.0,-0.0021341575403345248,True
31030781000190,0.170337688761652,0.051814501441888,0.2244986139468656,0.7509697946121733,0.125,0.0,0.8465624534140845,0.4014183565818778,8,8,baixo_baixo,False,0.1574993298894834,0.0638881443216482,0.2023196451242381,0.747054459011202,0.1074380165289256,0.0082644628099173,0.8404428615157159,0.4077096470935745,10,11,baixo_baixo,False,-0.01283835887216861,0.012073642879760205,-0.006119591898368637,True
31030892000105,0.0751682532741398,0.0559009252173511,0.1683439552430231,0.4568210024339769,0.0595585172844648,0.0399659863945578,0.8767065056825513,0.9381851010128456,49,196,baixo_baixo,False,0.0704350363023661,0.0535338551442273,0.1580328505623154,0.4393395555516946,0.0540625172686916,0.0368636539463042,0.8893391574283321,0.9774658459865044,56,233,baixo_baixo,False,-0.004733216971773702,-0.0023670700731237976,0.012632651745780876,True
31049535000180,0.4740444186866911,0.3688533024240293,0.6580000745733419,0.955745108317779,0.183673469387755,0.0204081632653061,0.9078614401949135,0.9869569428335128,6,7,hhi_alto,False,0.2823858049080356,0.2271847129778845,0.4764276691085967,0.83600255905182,0.078125,0.0072115384615384,0.8977145201153377,0.9892391087179334,14,16,baixo_baixo,False,-0.1916586137786555,-0.1416685894461448,-0.01014692007957585,False
31178434000100,0.2764168234258567,0.0955210292823208,0.3549896402367256,0.9916569562369608,0.2,3.4694469519536136e-17,0.7751744322749691,0.4615014646738912,5,5,baixo_baixo,False,0.1464668708512404,0.0962590397248427,0.2982665285730891,0.6287832530438161,0.0581717451523545,0.002770083102493,0.8650407343653197,0.4622641078833996,18,19,baixo_baixo,False,-0.1299499525746163,0.0007380104425219053,0.08986630209035062,True
31294097000116,0.1638476146264833,0.099528200366982,0.3058126652233234,0.7165576243303773,0.0795847750865051,0.0087836039393132,0.8128595858826433,0.7309535173595241,14,17,baixo_baixo,False,0.1638476146264833,0.099528200366982,0.3058126652233234,0.7165576243303773,0.0795847750865051,0.0087836039393132,0.8084701067658058,0.7281293480062466,14,17,baixo_baixo,False,0.0,0.0,-0.004389479116837514,True
