municipio_ibge,anexo,exercicio,status,n_registros
4213708,DCA-Anexo I-E,2025,ok,190
4213906,DCA-Anexo I-D,2025,ok,164
4213906,DCA-Anexo I-E,2025,ok,175
4214151,DCA-Anexo I-D,2025,ok,187
4214151,DCA-Anexo I-E,2025,ok,190
4214201,DCA-Anexo I-D,2025,ok,176
4214201,DCA-Anexo I-E,2025,ok,218
4214300,DCA-Anexo I-D,2025,ok,197
4214300,DCA-Anexo I-E,2025,ok,200
4214706,DCA-Anexo I-D,2025,ok,181
4214706,DCA-Anexo I-E,2025,ok,173
4214805,DCA-Anexo I-D,2025,ok,252
4214805,DCA-Anexo I-E,2025,ok,190
4214904,DCA-Anexo I-D,2025,ok,167
4214904,DCA-Anexo I-E,2025,ok,124
4215000,DCA-Anexo I-D,2025,ok,263
4215000,DCA-Anexo I-E,2025,ok,238
4215109,DCA-Anexo I-D,2025,ok,203
4215109,DCA-Anexo I-E,2025,ok,178
4215356,DCA-Anexo I-D,2025,ok,146
4215356,DCA-Anexo I-E,2025,ok,145
4215455,DCA-Anexo I-D,2025,ok,129
4215455,DCA-Anexo I-E,2025,ok,135
4215554,DCA-Anexo I-D,2025,ok,174
4215554,DCA-Anexo I-E,2025,ok,141
4215604,DCA-Anexo I-D,2025,ok,159
4215604,DCA-Anexo I-E,2025,ok,158
4215687,DCA-Anexo I-D,2025,ok,146
4215687,DCA-Anexo I-E,2025,ok,150
4215695,DCA-Anexo I-D,2025,ok,158
4215695,DCA-Anexo I-E,2025,ok,172
4215703,DCA-Anexo I-D,2025,ok,229
4215703,DCA-Anexo I-E,2025,ok,202
4215752,DCA-Anexo I-D,2025,ok,178
4215752,DCA-Anexo I-E,2025,ok,175
4215802,DCA-Anexo I-D,2025,ok,289
4215802,DCA-Anexo I-E,2025,ok,347
4216008,DCA-Anexo I-D,2025,ok,193
4216008,DCA-Anexo I-E,2025,ok,228
4216107,DCA-Anexo I-D,2025,ok,146
4216107,DCA-Anexo I-E,2025,ok,157
4216206,DCA-Anexo I-D,2025,ok,260
4216206,DCA-Anexo I-E,2025,ok,328
4216255,DCA-Anexo I-D,2025,ok,224
4216255,DCA-Anexo I-E,2025,ok,205
4216503,DCA-Anexo I-D,2025,ok,201
4216503,DCA-Anexo I-E,2025,ok,184
4216602,DCA-Anexo I-D,2025,ok,319
4216602,DCA-Anexo I-E,2025,ok,331
4216701,DCA-Anexo I-D,2025,ok,202
4216701,DCA-Anexo I-E,2025,ok,214
4216909,DCA-Anexo I-D,2025,ok,194
4216909,DCA-Anexo I-E,2025,ok,206
4217006,DCA-Anexo I-D,2025,ok,208
4217006,DCA-Anexo I-E,2025,ok,194
4217105,DCA-Anexo I-D,2025,ok,180
4217105,DCA-Anexo I-E,2025,ok,213
4217204,DCA-Anexo I-D,2025,ok,226
4217204,DCA-Anexo I-E,2025,ok,261
