orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
01834835000100,6830000.0,24,24,0.0582146631539007,0.0416666666666666,0.0878477306002928,0.3206442166910688,17.17780273599322,0.0172674745953746,0.0,0.016547996487234,0.0172674745953746,0.6478298910454363,0.8861362159569557,0.024498886414253896,0.6206384558277654,0.5961395694135115,0.16409596626840173,True,True
01842685000186,43549.99,5,5,0.3669854646107463,0.2,0.5510908268865274,0.9425947055326536,2.7249035627628437,0.2087318307634328,3.4694469519536136e-17,0.1669854646107463,0.2087318307634328,0.5157656339420618,0.3945138416268523,0.6102449888641426,0.034892353377876766,-0.5753526354862658,-0.3863896197305543,False,False
01850671000104,496470.25,188,61,0.1585469434940581,0.0430624717066545,0.3215902664862597,0.6663128556041373,6.307280215953688,0.1445227258856257,0.0271135129017655,0.1154844717874035,0.1174092129838602,0.9158680520962352,0.8060646773082181,0.46993318485523383,0.4298440979955457,-0.04008908685968815,0.04490146529608596,False,False
01877528000106,13863172.3536,69,52,0.1691756727692427,0.0237345095568157,0.2856787695474013,0.7393603540778532,5.911015358360711,0.1528849996862867,0.0045920489598906,0.1454411632124269,0.1482929507263961,0.6931678731933163,0.942633533450937,0.49072011878247956,0.8136599851521901,0.3229398663697105,0.17889944974961614,True,True
01896727000161,88328.01,46,31,0.2741536516897199,0.0472589792060491,0.4755003537382989,0.7620730954993779,3.647589568246111,0.2499587734127105,0.0155009451795841,0.2268946724836707,0.2344578282331264,0.5929392725505465,0.6001723997307719,0.6726057906458798,0.1603563474387528,-0.512249443207127,-0.193405745835188,False,False
01906118000146,670362.69,10,10,0.5859091727998346,0.1,0.7605486516560162,0.8774639441822156,1.7067491796064305,0.5398990808887051,3.0839528461809905e-17,0.4859091727998345,0.5398990808887051,0.3989296410860706,0.7756283845061551,0.9012620638455828,0.3749072011878248,-0.5263548626577581,-0.10708811574819,False,False
01933030000113,434715.92,6,5,0.7532521916163409,0.2222222222222222,0.8642239741300479,0.9960801987652074,1.327576621920188,0.691565239520426,0.0277777777777778,0.5310299693941187,0.6637874617426482,0.4230025788374212,0.8218064589528167,0.9480326651818857,0.46547884187082406,-0.4825538233110616,-0.10753781775671678,False,False
01935036000120,50402.63,72,37,0.1272404701384932,0.0455246913580247,0.2404041217690426,0.6092150350090859,7.859134746292302,0.1029971498645624,0.019011488340192,0.0817157787804685,0.0839856615243704,0.9900735895866976,0.7958963025578017,0.3556050482553823,0.4112843355605048,0.055679287305122505,0.04749958567781509,False,False
01941360000150,1381958.9663999998,397,139,0.0796090877053742,0.0201701679472618,0.2308245090886947,0.4465150786694153,12.56137997336317,0.0729395883409204,0.0130699517729666,0.0594389197581123,0.0598696365679537,0.993505220671628,0.9428228880026148,0.24053452115812918,0.8158871566443949,0.5753526354862657,0.20366697521601618,True,True
01977854000195,335345.55,18,16,0.2665972648875124,0.0679012345679012,0.3220558614837739,0.9142688787729552,3.7509762165862366,0.2177037492133465,0.0057613168724279,0.1986960303196111,0.2119424323409185,0.5824411194616577,0.6867022267609616,0.6273199703043801,0.2501855976243504,-0.37713437268002975,-0.09695953355799902,False,False
02061040000179,8829.67,13,10,0.3172775189270758,0.1124260355029586,0.5039825950460209,0.8852448619257571,3.15181486347239,0.2414194654745286,0.0138067061143984,0.2048514834241172,0.2276127593601302,0.9925222139814672,0.7729204501884583,0.6592427616926503,0.3682256867112101,-0.2910170749814402,-0.018032396858598476,False,False
02073207000111,1634712.0308,402,116,0.2441531417015056,0.0237122843493972,0.4282099763206807,0.791690894552631,4.095790015360811,0.2375805603249969,0.0152228259524355,0.2204408573521083,0.2223577343725614,0.5359828513467366,0.8918103217181008,0.6555308092056422,0.6347438752783965,-0.020786933927245732,0.10203769584074929,False,False
02179215000147,118231.7,10,9,0.2701814206853613,0.12,0.4447132198894205,0.8513872337114327,3.7012167508162825,0.1789540982710314,0.01,0.1501814206853612,0.1689540982710314,0.6040478805630244,0.4959736114809832,0.5575352635486266,0.0757238307349666,-0.48181143281366,-0.27577507555811565,False,False
