categoria,ano_assinatura,fornecedor_id_limpo,degree,strength,n_compradores_categoria,reach,pct_degree,pct_strength
Compras,2025,65831026000127,1,23467.0,467,0.0021413276231263384,0.4003839590443686,0.6540102389078498
Compras,2025,66646431000138,1,43.0,467,0.0021413276231263384,0.4003839590443686,0.005972696245733789
Compras,2025,66747627000119,1,6895.96,467,0.0021413276231263384,0.4003839590443686,0.4462457337883959
Compras,2025,66886052000115,1,20000.0,467,0.0021413276231263384,0.4003839590443686,0.6299061433447098
Compras,2025,66969262000177,2,17978.21,467,0.004282655246252677,0.841296928327645,0.6092150170648464
Compras,2025,67330092000149,1,780.0,467,0.0021413276231263384,0.4003839590443686,0.13395904436860068
Compras,2025,67567339000145,1,2655.0,467,0.0021413276231263384,0.4003839590443686,0.2935153583617747
Compras,2025,67729178000491,4,516095.91,467,0.008565310492505354,0.91830204778157,0.9526450511945392
Compras,2025,67729178000572,17,37757.2933,467,0.03640256959314775,0.9793088737201365,0.7299488054607508
Compras,2025,67729178000653,1,333984.0,467,0.0021413276231263384,0.4003839590443686,0.9283276450511946
Compras,2025,67731091000106,4,280107.8,467,0.008565310492505354,0.91830204778157,0.9155290102389079
Compras,2025,68577063000149,1,2750.0,467,0.0021413276231263384,0.4003839590443686,0.29906143344709896
Compras,2025,69076586000174,1,195.0,467,0.0021413276231263384,0.4003839590443686,0.03754266211604096
Compras,2025,69144434000161,1,18194.4,467,0.0021413276231263384,0.4003839590443686,0.6122013651877133
Compras,2025,69626349000130,1,14880262.2,467,0.0021413276231263384,0.4003839590443686,0.9987201365187713
Compras,2025,71052559000537,2,5024.37,467,0.004282655246252677,0.841296928327645,0.3937713310580205
Compras,2025,71145668000680,1,151800.0,467,0.0021413276231263384,0.4003839590443686,0.8754266211604096
Compras,2025,71181184000181,1,7381.0,467,0.0021413276231263384,0.4003839590443686,0.45733788395904434
Compras,2025,71304497000180,1,8524.73,467,0.0021413276231263384,0.4003839590443686,0.48080204778157
Compras,2025,71336101000186,1,279.94,467,0.0021413276231263384,0.4003839590443686,0.05332764505119454
Compras,2025,71336101000429,1,171392.3,467,0.0021413276231263384,0.4003839590443686,0.8848122866894198
Compras,2025,71505564000124,11,45327.03,467,0.023554603854389723,0.9682167235494881,0.7551194539249146
Compras,2025,71673446000125,1,150.0,467,0.0021413276231263384,0.4003839590443686,0.029436860068259386
Compras,2025,71959431000128,1,455.38,467,0.0021413276231263384,0.4003839590443686,0.08703071672354949
Compras,2025,72130461000190,1,13897.1,467,0.0021413276231263384,0.4003839590443686,0.5661262798634812
Compras,2025,72150550000106,27,44514.22,467,0.057815845824411134,0.9882679180887372,0.7512798634812287
Compras,2025,72381189000110,1,12515.51,467,0.0021413276231263384,0.4003839590443686,0.5443686006825939
Compras,2025,72962079000142,1,149080.0,467,0.0021413276231263384,0.4003839590443686,0.8720136518771331
Compras,2025,73416471000159,1,423.54,467,0.0021413276231263384,0.4003839590443686,0.08148464163822526
Compras,2025,73709958000120,1,2673000.0,467,0.0021413276231263384,0.4003839590443686,0.9936006825938567
Compras,2025,73730129001605,1,12864.0,467,0.0021413276231263384,0.4003839590443686,0.5503412969283277
Compras,2025,73856593000166,18,104808.09,467,0.03854389721627409,0.98080204778157,0.8400170648464164
Compras,2025,74072513002945,1,799.9,467,0.0021413276231263384,0.4003839590443686,0.1348122866894198
Compras,2025,74166398000177,1,24800.0,467,0.0021413276231263384,0.4003839590443686,0.6612627986348123
Compras,2025,74400052000191,1,11943231.42,467,0.0021413276231263384,0.4003839590443686,0.9982935153583617
Compras,2025,74681065000186,1,14242.6,467,0.0021413276231263384,0.4003839590443686,0.5716723549488054
Compras,2025,75121434000149,1,11800.0,467,0.0021413276231263384,0.4003839590443686,0.537542662116041
