orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
45193699000191,1,53,5207808,Firminópolis,GO,3552990.5700000003,53,19,0.3420954526619397,0.4588831768275704,0.8754339024322263,2.923160750073473,0.5005418079776156,0.1705233179067283,5.864300626304802,0.1715721347552113,0.6551988978973987,0.9324548270753864,True
45271342000184,1,7,5203906,Buriti Alegre,GO,294217.0,7,6,0.2690658782123245,0.3670760017266167,0.9559610763484097,3.7165619313902094,0.8102014868660014,0.183673469387755,5.444444444444445,0.0853924088245694,0.4095272879056663,0.6586276305608305,True
45310125000156,1,9,3516200,Franca,SP,6088.06,9,8,0.2059584477233325,0.2882691694891311,0.8679907885270512,4.8553483047382295,0.8350016197839945,0.1358024691358024,7.363636363636364,0.07015597858753,0.5915252543002687,0.2428761261675772,True
45316509000186,1,65,1718204,Porto Nacional,TO,17596489.355800003,65,38,0.1648124572129586,0.3374080408853277,0.6488800870974014,6.067502523233866,0.641276057332609,0.0546745562130177,18.29004329004329,0.1101379009999408,0.41807683425219,0.948675045610856,True
45359973000150,1,17,3548906,São Carlos,SP,6509528.85,17,16,0.16995534921083,0.292051920163162,0.7438485275320655,5.88389835708847,0.7254857501951504,0.0657439446366782,15.210526315789473,0.1042114045741518,0.4585949395064687,0.9308247646623984,True
45519461000103,1,12,5216809,Petrolina de Goiás,GO,361771.36,12,9,0.1589474591685854,0.2465032057816849,0.692725261612749,6.291387136546573,0.9046676534012216,0.1666666666666666,6.0,-0.0077192074980812,0.5571117867179981,0.6241235442237811,True
45579061000193,1,7,5201702,Aragarças,GO,363600.0,7,6,0.2094930477646224,0.2995049504950495,0.8715621562156215,4.773428095444761,0.9236189548871604,0.183673469387755,5.444444444444445,0.0258195783768673,0.5116332931425251,0.683755035474329,True
45704567000187,1,7,5213004,Maurilândia,GO,279818.02,7,7,0.1730538585208722,0.2177772539452605,0.7567418996103252,5.77854783792289,0.9250770700778144,0.1428571428571428,7.0,0.0301967156637293,0.7166382665880411,0.6480778491057422,True
45742707000101,1,36,3553609,Tapiratiba,SP,2671285.29,36,33,0.0550276972232172,0.1215894091192333,0.3544102659285785,18.172666683534803,0.8927860648035425,0.0324074074074074,30.85714285714285,0.0226202898158097,0.5927218896597952,0.7476816999987794,True
45767829000152,1,55,3508702,Caconde,SP,1150756.86,55,49,0.0752090740097207,0.1790126195728262,0.4522412145342327,13.296267945949582,0.8026855451941499,0.0241322314049586,41.43835616438356,0.051076842604762,0.45676528714283,0.6209743179159566,True
