orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
13872416000141,5215405,Ouro Verde de Goiás,GO,3,3,3,196300.0,0.0,6.0
13886006000150,4214201,Quilombo,SC,74,13,40,129536.412,1.0,1.0
13917262000167,3204559,Santa Maria de Jetibá,ES,3,2,3,153200.35,0.3333333333333333,3.0
13927758000111,3202256,Governador Lindenberg,ES,4,4,4,262664.82,0.0,19.5
13953949000158,3526704,Leme,SP,7,7,4,4406.86,1.0,4.0
13954199000139,4203105,Caibi,SC,7,6,6,133325.2,0.5714285714285714,1.0
13959466000160,3201902,Domingos Martins,ES,1,1,1,12948.3,0.0,3.0
14004655000142,5002951,Chapadão do Sul,MS,14,4,14,405117.61,0.0,173.5
14007211000160,4208906,Jaraguá do Sul,SC,25,12,22,103679.51,1.0,1.0
14015108000162,4205456,Forquilhinha,SC,1,1,1,24600.0,0.0,0.0
14153138000135,1505304,Oriximiná,PA,1,1,1,3000000.0,0.0,1.0
14338582000125,2312007,Santana do Acaraú,CE,1,1,1,28700.0,0.0,2.0
14387430000112,5207808,Firminópolis,GO,1,1,1,25000.0,0.0,18.0
